,rates
AED,3.988321
AFN,94.469704
ALL,120.367796
AMD,509.495289
ANG,1.957737
AOA,447.355915
ARS,123.711605
AUD,1.456747
AWG,1.955089
AZN,1.842817
BAM,1.956567
BBD,2.193285
BDT,93.664864
BGN,1.956171
BHD,0.409424
BIF,2186.919664
BMD,1.085859
BND,1.48123
BOB,7.468074
BRL,5.020576
BSD,1.086289
BTC,2.6283135e-05
BTN,83.049168
BWP,12.690144
BYN,3.599555
BYR,21282.832877
BZD,2.189634
CAD,1.356232
CDF,2184.748337
CHF,1.028569
CLF,0.032075
CLP,884.67075
CNY,6.970345
COP,4081.384972
CRC,709.086968
CUC,1.085859
CUP,28.775259
CVE,110.67056
CZK,24.37411
DJF,193.379245
DKK,7.439512
DOP,59.776727
DZD,155.923781
EGP,20.072752
ERN,16.287884
ETB,55.702558
EUR,1.0
FJD,2.28704
FKP,0.834637
GBP,0.831279
GEL,3.295567
GGP,0.834637
GHS,8.171125
GIP,0.834637
GMD,58.525704
GNF,9620.708919
GTQ,8.323557
GYD,227.261377
HKD,8.517243
HNL,26.560229
HRK,7.563985
HTG,118.403488
HUF,370.876174
IDR,15588.426344
ILS,3.49626
IMP,0.834637
INR,82.83496
IQD,1585.353878
IRR,45986.120959
ISK,139.03313
JEP,0.834637
JMD,168.132204
JOD,0.76985
JPY,138.707068
KES,125.470594
KGS,89.64579
KHR,4395.556242
KMF,492.547887
KPW,977.273067
KRW,1340.6719
KWD,0.331567
KYD,0.905224
KZT,481.171158
LAK,12943.43717
LBP,1647.247507
LKR,358.458856
LRD,164.996703
LSL,16.374499
LTL,3.206259
LVL,0.656825
LYD,5.119833
MAD,10.634354
MDL,20.074558
MGA,4343.435536
MKD,61.638206
MMK,2011.217769
MNT,3251.998619
MOP,8.775004
MRO,387.651412
MUR,46.69403
MVR,16.776667
MWK,883.352175
MXN,21.741054
MYR,4.649659
MZN,69.31021
NAD,16.374945
NGN,451.173238
NIO,38.797989
NOK,9.554651
NPR,132.87658
NZD,1.595514
OMR,0.418061
PAB,1.086309
PEN,4.020923
PGK,3.811089
PHP,57.098263
PKR,202.023837
PLN,4.636707
PYG,7442.402026
QAR,3.953634
RON,4.945648
RSD,117.679959
RUB,89.582912
RWF,1110.833573
SAR,4.072329
SBD,8.714808
SCR,15.654056
SDG,485.923962
SEK,10.244589
SGD,1.480558
SHP,1.495661
SLL,13432.073555
SOS,628.712128
SRD,22.510912
STD,22475.085239
SVC,9.505579
SYP,2728.16544
SZL,16.369363
THB,36.690052
TJS,13.578512
TMT,3.800506
TND,3.282546
TOP,2.470438
TRY,15.933816
TTD,7.37364
TWD,31.745086
TZS,2521.363985
UAH,31.936724
UGX,3839.975004
USD,1.085859
UYU,44.825877
UZS,12264.77501
VEF,232189432959.00476
VND,24936.204877
VUV,122.247779
WST,2.807425
XAF,656.204057
XAG,0.043211
XAU,0.000556
XCD,2.934588
XDR,0.7967
XOF,657.488474
XPF,119.851673
YER,271.736362
ZAR,16.338212
ZMK,9774.040249
ZMW,18.900968
ZWL,349.646097
